meeting_date,track_name,race_number,race_distance,track_condition,race_class,runner_name,runner_number,barrier_draw,weight_kg,jockey,trainer,jt_pair,fixed_odds_win,fixed_odds_win_open,odds_drift,win_rate_last5,place_rate_last5,jt_pair_win_rate,form_rating_dfs,early_speed_rating,early_speed_band,win_flag
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_5,6,3,59.4,JOCKEY_34,TRAINER_29,JOCKEY_41 / TRAINER_34,11.96,11.41,0.56,0.0462,0.1525,0.0166,84.0,47,MIDFIELD,0
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_6,7,7,55.0,JOCKEY_42,TRAINER_2,JOCKEY_39 / TRAINER_9,6.5,5.78,0.72,0.1575,0.3528,0.1514,66.0,10,LEADER,0
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_7,8,6,58.1,JOCKEY_0,TRAINER_18,JOCKEY_74 / TRAINER_26,22.27,21.51,0.76,0.0947,0.2695,0.1714,88.0,96,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_0,1,10,61.4,JOCKEY_0,TRAINER_28,JOCKEY_38 / TRAINER_23,36.79,37.95,-1.16,0.1014,0.3784,0.0285,86.0,94,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_1,2,9,54.8,JOCKEY_11,TRAINER_46,JOCKEY_67 / TRAINER_5,31.4,29.34,2.06,0.2091,0.5382,0.2398,91.0,75,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_2,3,8,60.7,JOCKEY_16,TRAINER_33,JOCKEY_58 / TRAINER_16,8.53,7.96,0.57,0.0468,0.1732,0.1974,82.0,22,LEADER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_3,4,5,61.2,JOCKEY_25,TRAINER_7,JOCKEY_76 / TRAINER_7,7.77,7.63,0.15,0.3593,0.6881,0.0812,98.0,96,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_4,5,11,61.8,JOCKEY_75,TRAINER_46,JOCKEY_28 / TRAINER_39,4.46,3.72,0.74,0.3745,0.6058,0.115,101.0,96,BACKMARKER,1
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_5,6,4,60.4,JOCKEY_33,TRAINER_5,JOCKEY_21 / TRAINER_42,13.88,14.72,-0.84,0.1917,0.4047,0.296,65.0,25,LEADER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_6,7,13,60.2,JOCKEY_7,TRAINER_22,JOCKEY_57 / TRAINER_41,19.25,19.36,-0.11,0.2548,0.3914,0.1765,102.0,82,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_7,8,7,59.1,JOCKEY_59,TRAINER_39,JOCKEY_43 / TRAINER_5,5.05,5.57,-0.52,0.1181,0.3557,0.1327,87.0,46,MIDFIELD,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_8,9,1,60.2,JOCKEY_53,TRAINER_49,JOCKEY_1 / TRAINER_33,15.75,16.45,-0.7,0.3988,0.7626,0.0852,88.0,63,MIDFIELD,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_9,10,2,55.1,JOCKEY_36,TRAINER_7,JOCKEY_68 / TRAINER_38,23.89,23.19,0.7,0.2601,0.3872,0.2691,64.0,50,MIDFIELD,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_10,11,12,58.3,JOCKEY_12,TRAINER_2,JOCKEY_65 / TRAINER_30,30.3,30.18,0.12,0.0793,0.4525,0.1969,87.0,80,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_11,12,3,58.1,JOCKEY_77,TRAINER_46,JOCKEY_9 / TRAINER_38,24.14,24.89,-0.75,0.3206,0.4922,0.2548,92.0,99,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_12,13,15,60.9,JOCKEY_43,TRAINER_31,JOCKEY_6 / TRAINER_42,31.96,33.31,-1.35,0.2792,0.6306,0.012,86.0,81,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_13,14,6,57.7,JOCKEY_41,TRAINER_49,JOCKEY_59 / TRAINER_30,16.78,17.59,-0.8,0.0621,0.3825,0.0579,63.0,93,BACKMARKER,0
2025-02-02,TRACK_3,4,2200,Good3,CL2,HORSE_3_14,15,14,57.1,JOCKEY_32,TRAINER_8,JOCKEY_29 / TRAINER_4,38.57,36.74,1.83,0.0218,0.3067,0.0127,83.0,95,BACKMARKER,0
2025-08-13,TRACK_4,5,2400,Good3,CL5,HORSE_4_10,11,5,55.2,JOCKEY_68,TRAINER_49,JOCKEY_73 / TRAINER_31,19.72,19.65,0.07,0.1362,0.3859,0.1594,83.0,38,MIDFIELD,0
2025-08-13,TRACK_4,5,2400,Good3,CL5,HORSE_4_11,12,7,58.1,JOCKEY_50,TRAINER_34,JOCKEY_35 / TRAINER_21,9.75,9.1,0.65,0.071,0.2727,0.0575,96.0,56,MIDFIELD,0
2025-08-13,TRACK_4,5,2400,Good3,CL5,HORSE_4_12,13,12,57.2,JOCKEY_24,TRAINER_35,JOCKEY_78 / TRAINER_40,5.41,5.6,-0.19,0.2394,0.3416,0.0834,93.0,85,BACKMARKER,0
2025-08-13,TRACK_4,5,2400,Good3,CL5,HORSE_4_13,14,1,57.8,JOCKEY_49,TRAINER_31,JOCKEY_62 / TRAINER_23,10.97,9.81,1.16,0.191,0.5194,0.271,85.0,44,MIDFIELD,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_0,1,5,58.4,JOCKEY_42,TRAINER_6,JOCKEY_9 / TRAINER_28,31.18,30.84,0.34,0.2871,0.6293,0.2996,94.0,36,MIDFIELD,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_1,2,10,59.2,JOCKEY_17,TRAINER_24,JOCKEY_27 / TRAINER_6,17.83,17.44,0.39,0.399,0.7093,0.1786,78.0,73,BACKMARKER,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_2,3,13,61.8,JOCKEY_77,TRAINER_31,JOCKEY_70 / TRAINER_17,39.47,38.6,0.87,0.1462,0.2663,0.0606,91.0,63,MIDFIELD,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_3,4,3,61.9,JOCKEY_27,TRAINER_44,JOCKEY_30 / TRAINER_11,2.36,2.02,0.34,0.1682,0.5559,0.2256,100.0,50,MIDFIELD,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_4,5,9,56.3,JOCKEY_49,TRAINER_32,JOCKEY_2 / TRAINER_14,28.37,29.16,-0.78,0.1301,0.5029,0.1589,87.0,45,MIDFIELD,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_5,6,6,59.9,JOCKEY_20,TRAINER_39,JOCKEY_46 / TRAINER_39,40.93,41.35,-0.42,0.0965,0.2933,0.0466,90.0,20,LEADER,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_6,7,11,60.0,JOCKEY_37,TRAINER_9,JOCKEY_13 / TRAINER_28,11.12,10.69,0.44,0.1754,0.4182,0.2984,71.0,34,MIDFIELD,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_7,8,4,56.8,JOCKEY_11,TRAINER_1,JOCKEY_75 / TRAINER_47,15.46,15.22,0.25,0.0408,0.3366,0.2866,70.0,59,MIDFIELD,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_8,9,7,55.0,JOCKEY_21,TRAINER_25,JOCKEY_63 / TRAINER_15,26.24,25.32,0.92,0.0412,0.1535,0.0738,78.0,89,BACKMARKER,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_9,10,8,54.3,JOCKEY_35,TRAINER_10,JOCKEY_78 / TRAINER_15,3.6,2.62,0.98,0.0204,0.1539,0.1154,98.0,87,BACKMARKER,1
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_10,11,15,60.2,JOCKEY_13,TRAINER_0,JOCKEY_8 / TRAINER_25,26.9,25.87,1.04,0.1577,0.3826,0.0005,83.0,26,LEADER,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_11,12,14,57.9,JOCKEY_42,TRAINER_13,JOCKEY_18 / TRAINER_16,22.13,21.11,1.02,0.1958,0.3957,0.1294,75.0,71,BACKMARKER,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_12,13,2,61.9,JOCKEY_19,TRAINER_46,JOCKEY_38 / TRAINER_2,9.76,10.04,-0.28,0.097,0.341,0.205,95.0,17,LEADER,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_13,14,1,57.7,JOCKEY_1,TRAINER_45,JOCKEY_7 / TRAINER_0,21.26,21.08,0.19,0.1843,0.4978,0.0451,98.0,70,BACKMARKER,0
2025-09-23,TRACK_5,6,1600,Good4,CL2,HORSE_5_14,15,12,61.8,JOCKEY_7,TRAINER_28,JOCKEY_18 / TRAINER_29,5.01,6.01,-1.0,0.0753,0.1847,0.0332,100.0,40,MIDFIELD,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_0,1,9,59.0,JOCKEY_12,TRAINER_11,JOCKEY_67 / TRAINER_43,32.02,33.02,-1.0,0.1179,0.417,0.2509,65.0,90,BACKMARKER,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_1,2,4,55.3,JOCKEY_42,TRAINER_36,JOCKEY_61 / TRAINER_28,26.8,27.18,-0.38,0.1015,0.3847,0.1661,104.0,18,LEADER,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_2,3,3,60.2,JOCKEY_2,TRAINER_39,JOCKEY_28 / TRAINER_26,38.86,38.66,0.2,0.3034,0.6984,0.1258,71.0,89,BACKMARKER,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_3,4,7,60.8,JOCKEY_37,TRAINER_7,JOCKEY_28 / TRAINER_48,6.85,7.09,-0.24,0.1632,0.2914,0.2669,60.0,47,MIDFIELD,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_4,5,1,56.0,JOCKEY_27,TRAINER_23,JOCKEY_70 / TRAINER_36,2.14,1.2,0.94,0.0714,0.2312,0.2577,101.0,58,MIDFIELD,1
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_5,6,11,61.4,JOCKEY_42,TRAINER_39,JOCKEY_75 / TRAINER_28,13.16,10.49,2.67,0.3513,0.5651,0.1551,60.0,24,LEADER,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_6,7,6,57.6,JOCKEY_0,TRAINER_10,JOCKEY_34 / TRAINER_37,15.1,14.77,0.33,0.0418,0.413,0.2597,84.0,65,MIDFIELD,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_7,8,13,58.8,JOCKEY_50,TRAINER_19,JOCKEY_50 / TRAINER_15,8.08,7.99,0.09,0.0093,0.403,0.1131,104.0,26,LEADER,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_8,9,5,61.9,JOCKEY_40,TRAINER_23,JOCKEY_5 / TRAINER_9,21.9,21.54,0.36,0.2435,0.5178,0.1227,86.0,34,MIDFIELD,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_9,10,2,56.9,JOCKEY_3,TRAINER_16,JOCKEY_1 / TRAINER_47,14.48,14.91,-0.42,0.1509,0.3691,0.0393,86.0,74,BACKMARKER,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_10,11,10,60.5,JOCKEY_38,TRAINER_10,JOCKEY_78 / TRAINER_9,35.51,34.82,0.69,0.0974,0.2271,0.2261,77.0,14,LEADER,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_11,12,8,56.5,JOCKEY_7,TRAINER_47,JOCKEY_19 / TRAINER_32,23.6,22.59,1.01,0.2088,0.4493,0.0778,65.0,50,MIDFIELD,0
2025-04-24,TRACK_6,7,1000,Firm1,CL6,HORSE_6_12,13,12,60.4,JOCKEY_24,TRAINER_43,JOCKEY_61 / TRAINER_45,28.75,28.65,0.1,0.1982,0.3314,0.0757,85.0,63,MIDFIELD,0
2025-05-27,TRACK_7,8,2400,Firm2,BM64,HORSE_7_0,1,2,54.6,JOCKEY_14,TRAINER_12,JOCKEY_70 / TRAINER_35,19.44,19.99,-0.56,0.1058,0.4598,0.0538,64.0,94,BACKMARKER,0
2025-05-27,TRACK_7,8,2400,Firm2,BM64,HORSE_7_1,2,6,55.1,JOCKEY_26,TRAINER_12,JOCKEY_23 / TRAINER_8,2.56,3.92,-1.36,0.3405,0.7029,0.1018,94.0,46,MIDFIELD,1
2025-05-27,TRACK_7,8,2400,Firm2,BM64,HORSE_7_2,3,5,56.4,JOCKEY_36,TRAINER_26,JOCKEY_31 / TRAINER_26,29.74,31.62,-1.88,0.376,0.7424,0.2332,61.0,20,LEADER,0
2025-05-27,TRACK_7,8,2400,Firm2,BM64,HORSE_7_3,4,4,58.4,JOCKEY_66,TRAINER_47,JOCKEY_11 / TRAINER_8,25.25,26.42,-1.17,0.1738,0.3134,0.0377,94.0,30,LEADER,0
2025-05-27,TRACK_7,8,2400,Firm2,BM64,HORSE_7_4,5,7,54.8,JOCKEY_12,TRAINER_45,JOCKEY_0 / TRAINER_16,14.81,15.68,-0.87,0.2218,0.3841,0.076,61.0,90,BACKMARKER,0
2025-05-27,TRACK_7,8,2400,Firm2,BM64,HORSE_7_5,6,3,60.8,JOCKEY_67,TRAINER_49,JOCKEY_11 / TRAINER_40,35.07,35.41,-0.34,0.2433,0.4828,0.1201,69.0,75,BACKMARKER,0
2025-05-27,TRACK_7,8,2400,Firm2,BM64,HORSE_7_6,7,1,58.9,JOCKEY_44,TRAINER_2,JOCKEY_74 / TRAINER_17,8.17,7.01,1.16,0.2966,0.5373,0.0459,87.0,19,LEADER,0
2025-01-22,TRACK_8,1,1800,HVY10,BM64,HORSE_8_0,1,2,60.3,JOCKEY_46,TRAINER_2,JOCKEY_79 / TRAINER_22,2.97,3.35,-0.37,0.38,0.5828,0.0532,89.0,37,MIDFIELD,1
2025-01-22,TRACK_8,1,1800,HVY10,BM64,HORSE_8_1,2,5,55.7,JOCKEY_13,TRAINER_15,JOCKEY_28 / TRAINER_47,27.56,27.08,0.48,0.357,0.6819,0.2975,74.0,69,BACKMARKER,0
2025-01-22,TRACK_8,1,1800,HVY10,BM64,HORSE_8_2,3,6,61.4,JOCKEY_47,TRAINER_25,JOCKEY_58 / TRAINER_45,35.54,36.31,-0.77,0.1465,0.4681,0.1209,78.0,69,BACKMARKER,0
2025-01-22,TRACK_8,1,1800,HVY10,BM64,HORSE_8_3,4,4,57.5,JOCKEY_20,TRAINER_6,JOCKEY_66 / TRAINER_4,20.67,21.3,-0.63,0.1677,0.4618,0.1027,92.0,63,MIDFIELD,0
2025-01-22,TRACK_8,1,1800,HVY10,BM64,HORSE_8_4,5,1,59.1,JOCKEY_64,TRAINER_9,JOCKEY_12 / TRAINER_38,15.59,14.36,1.23,0.267,0.5637,0.1989,92.0,16,LEADER,0
2025-01-22,TRACK_8,1,1800,HVY10,BM64,HORSE_8_5,6,3,54.0,JOCKEY_61,TRAINER_6,JOCKEY_22 / TRAINER_14,8.27,8.0,0.27,0.3443,0.5183,0.2004,80.0,52,MIDFIELD,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_0,1,6,58.3,JOCKEY_19,TRAINER_14,JOCKEY_17 / TRAINER_32,15.72,15.57,0.15,0.2579,0.4447,0.0773,79.0,99,BACKMARKER,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_1,2,2,59.6,JOCKEY_65,TRAINER_6,JOCKEY_67 / TRAINER_11,1.2,1.66,-0.46,0.3442,0.4945,0.0023,102.0,78,BACKMARKER,1
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_2,3,7,61.6,JOCKEY_11,TRAINER_47,JOCKEY_12 / TRAINER_1,29.43,28.51,0.91,0.3097,0.4444,0.117,101.0,30,LEADER,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_3,4,1,58.9,JOCKEY_33,TRAINER_29,JOCKEY_63 / TRAINER_12,10.88,10.73,0.15,0.2479,0.6277,0.2942,74.0,78,BACKMARKER,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_4,5,4,56.0,JOCKEY_21,TRAINER_7,JOCKEY_33 / TRAINER_25,2.86,3.51,-0.65,0.3539,0.653,0.0336,97.0,19,LEADER,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_5,6,3,59.0,JOCKEY_44,TRAINER_5,JOCKEY_7 / TRAINER_34,17.97,19.19,-1.23,0.2003,0.5062,0.1958,102.0,53,MIDFIELD,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_6,7,8,56.6,JOCKEY_58,TRAINER_18,JOCKEY_53 / TRAINER_38,24.95,25.55,-0.6,0.3907,0.5862,0.1384,104.0,66,MIDFIELD,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_7,8,5,61.8,JOCKEY_28,TRAINER_11,JOCKEY_59 / TRAINER_35,39.66,40.5,-0.84,0.315,0.6646,0.2464,60.0,51,MIDFIELD,0
2025-09-06,TRACK_9,2,2400,HVY9,MDN,HORSE_9_8,9,9,57.2,JOCKEY_64,TRAINER_16,JOCKEY_12 / TRAINER_15,28.32,29.46,-1.13,0.1965,0.5644,0.0432,93.0,72,BACKMARKER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_0,1,8,57.5,JOCKEY_52,TRAINER_18,JOCKEY_56 / TRAINER_23,1.2,3.66,-2.46,0.1156,0.4361,0.1699,93.0,26,LEADER,1
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_1,2,5,60.2,JOCKEY_2,TRAINER_12,JOCKEY_60 / TRAINER_5,37.63,36.63,1.0,0.0198,0.3003,0.1459,91.0,88,BACKMARKER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_2,3,11,54.3,JOCKEY_66,TRAINER_22,JOCKEY_45 / TRAINER_31,35.06,33.74,1.32,0.2245,0.4401,0.0812,104.0,95,BACKMARKER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_3,4,10,59.2,JOCKEY_54,TRAINER_38,JOCKEY_13 / TRAINER_41,26.32,26.69,-0.37,0.0264,0.1268,0.0637,98.0,97,BACKMARKER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_4,5,4,60.6,JOCKEY_71,TRAINER_23,JOCKEY_46 / TRAINER_23,24.82,26.75,-1.93,0.188,0.4308,0.2807,66.0,96,BACKMARKER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_5,6,2,55.3,JOCKEY_15,TRAINER_26,JOCKEY_14 / TRAINER_3,6.13,5.64,0.49,0.2718,0.436,0.0297,104.0,88,BACKMARKER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_6,7,9,55.2,JOCKEY_10,TRAINER_17,JOCKEY_21 / TRAINER_46,14.29,16.57,-2.28,0.3441,0.5402,0.1082,89.0,50,MIDFIELD,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_7,8,7,60.9,JOCKEY_48,TRAINER_2,JOCKEY_9 / TRAINER_22,25.29,23.91,1.38,0.0822,0.4487,0.2789,68.0,27,LEADER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_8,9,1,60.6,JOCKEY_49,TRAINER_7,JOCKEY_79 / TRAINER_22,14.99,15.4,-0.41,0.0488,0.4045,0.2263,80.0,65,MIDFIELD,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_9,10,3,58.3,JOCKEY_3,TRAINER_46,JOCKEY_13 / TRAINER_40,6.26,6.82,-0.57,0.1605,0.3577,0.2846,101.0,29,LEADER,0
2025-01-07,TRACK_10,3,1600,Soft5,CL1,HORSE_10_10,11,6,60.6,JOCKEY_78,TRAINER_39,JOCKEY_46 / TRAINER_23,19.85,20.18,-0.33,0.1995,0.4476,0.2913,77.0,52,MIDFIELD,0
2025-03-28,TRACK_11,4,1200,HVY9,CL4,HORSE_11_0,1,4,60.9,JOCKEY_45,TRAINER_5,JOCKEY_53 / TRAINER_49,8.54,9.19,-0.65,0.3022,0.4794,0.248,74.0,55,MIDFIELD,0
2025-03-28,TRACK_11,4,1200,HVY9,CL4,HORSE_11_1,2,3,58.7,JOCKEY_4,TRAINER_30,JOCKEY_3 / TRAINER_46,1.2,1.22,-0.02,0.3782,0.596,0.2772,63.0,75,BACKMARKER,1
2025-03-28,TRACK_11,4,1200,HVY9,CL4,HORSE_11_2,3,7,56.9,JOCKEY_54,TRAINER_10,JOCKEY_37 / TRAINER_22,25.73,23.72,2.01,0.2251,0.333,0.223,77.0,97,BACKMARKER,0
2025-03-28,TRACK_11,4,1200,HVY9,CL4,HORSE_11_3,4,2,57.3,JOCKEY_0,TRAINER_2,JOCKEY_21 / TRAINER_33,22.65,23.47,-0.82,0.3147,0.5139,0.2636,83.0,45,MIDFIELD,0
2025-03-28,TRACK_11,4,1200,HVY9,CL4,HORSE_11_4,5,6,57.5,JOCKEY_12,TRAINER_39,JOCKEY_68 / TRAINER_42,37.48,35.9,1.58,0.31,0.5589,0.1609,64.0,87,BACKMARKER,0
2025-03-28,TRACK_11,4,1200,HVY9,CL4,HORSE_11_5,6,1,59.1,JOCKEY_15,TRAINER_25,JOCKEY_38 / TRAINER_12,19.26,19.88,-0.61,0.2377,0.6012,0.1123,73.0,29,LEADER,0
